Temp,Humidity,Lower Light State,Middle Light State,Exhaust Fan State,Breeze Fan State,Heater State,Datetime
74.12,27.5,1,1,0,0,0,13:40:00 12/21/20 MST
72.5,32.1,1,1,0,0,0,13:50:00 12/21/20 MST
72.68,33.5,0,0,0,0,0,14:00:00 12/21/20 MST
68.18,45.3,0,0,0,1,1,14:10:00 12/21/20 MST
60.8,46.2,0,0,0,1,1,15:30:00 12/21/20 MST
69.26,32.6,0,0,0,1,1,15:40:00 12/21/20 MST
69.62,33.2,0,0,0,1,1,15:50:00 12/21/20 MST
75.56,25.2,0,0,0,0,0,16:00:00 12/21/20 MST
67.1,33.4,0,0,0,1,1,16:10:00 12/21/20 MST
71.78,31.4,0,0,0,0,0,16:20:00 12/21/20 MST
72.86,26.8,0,0,0,0,0,16:30:00 12/21/20 MST
78.08,25.2,0,0,0,0,0,16:40:00 12/21/20 MST
68.0,33.5,0,0,0,1,1,16:50:00 12/21/20 MST
70.88,31.4,0,0,0,0,0,17:00:00 12/21/20 MST
ERR,ERR,0,0,0,1,1,17:10:00 12/21/20 MST
73.76,28.4,0,0,0,0,0,17:20:00 12/21/20 MST
75.56,25.4,0,0,0,0,0,17:30:00 12/21/20 MST
68.0,37.9,0,0,0,1,1,17:40:00 12/21/20 MST
ERR,ERR,0,0,0,0,0,17:50:00 12/21/20 MST
71.6,26.7,0,0,0,0,0,18:00:00 12/21/20 MST
68.72,28.2,0,0,0,1,1,18:10:00 12/21/20 MST
69.26,29.8,0,0,0,1,1,18:20:00 12/21/20 MST
71.24,29.4,0,0,0,0,0,18:30:00 12/21/20 MST
70.88,27.5,0,0,0,0,0,18:40:00 12/21/20 MST
75.02,26.4,0,0,0,0,0,18:50:00 12/21/20 MST
68.72,32.4,0,0,0,1,1,19:00:00 12/21/20 MST
70.16,29.5,0,0,0,0,0,19:10:00 12/21/20 MST
70.88,27.7,0,0,0,0,0,19:20:00 12/21/20 MST
74.3,25.6,0,0,0,0,0,19:30:00 12/21/20 MST
68.0,32.8,0,0,0,1,1,19:40:00 12/21/20 MST
68.72,30.0,0,0,0,1,1,19:50:00 12/21/20 MST
77.54,21.2,1,1,0,0,0,20:00:00 12/21/20 MST
75.02,26.9,1,1,0,0,0,20:10:00 12/21/20 MST
74.48,30.6,1,1,0,0,0,20:20:00 12/21/20 MST
74.66,33.4,1,1,0,0,0,20:30:00 12/21/20 MST
75.2,31.8,1,1,0,0,0,20:40:00 12/21/20 MST
75.74,31.4,1,1,0,0,0,20:50:00 12/21/20 MST
75.74,31.6,1,1,0,0,0,21:00:00 12/21/20 MST
75.74,32.2,1,1,0,0,0,21:10:00 12/21/20 MST
76.1,31.7,1,1,0,0,0,21:20:00 12/21/20 MST
76.28,31.8,1,1,0,0,0,21:30:00 12/21/20 MST
76.1,33.1,1,1,0,0,0,21:40:00 12/21/20 MST
75.92,31.9,1,1,0,0,0,21:50:00 12/21/20 MST
76.1,32.1,1,1,0,0,0,22:00:00 12/21/20 MST
75.74,33.8,1,1,0,0,0,22:10:00 12/21/20 MST
75.92,32.6,1,1,0,0,0,22:20:01 12/21/20 MST
75.92,32.6,1,1,0,0,0,22:30:00 12/21/20 MST
75.74,33.3,1,1,0,0,0,22:40:00 12/21/20 MST
ERR,ERR,1,1,0,0,0,22:50:00 12/21/20 MST
75.74,34.0,1,1,0,0,0,23:00:00 12/21/20 MST
75.74,33.8,1,1,0,0,0,23:10:00 12/21/20 MST
76.1,33.7,1,1,0,0,0,23:20:00 12/21/20 MST
76.1,33.5,1,1,0,0,0,23:30:00 12/21/20 MST
