Temp,Humidity,Lower Light State,Middle Light State,Exhaust Fan State,Breeze Fan State,Heater State,Datetime
77.36,21.9,1,1,0,1,1,10:00:00 12/29/20 MST
77.72,21.7,1,1,0,1,1,10:20:58 12/29/20 MST
77.72,21.7,1,1,0,1,1,10:20:59 12/29/20 MST
72.86,23.2,1,1,0,1,1,10:30:00 12/29/20 MST
68.0,27.3,1,1,0,1,1,11:00:00 12/29/20 MST
69.44,25.0,1,1,0,1,1,11:10:00 12/29/20 MST
73.58,23.3,1,1,0,1,1,11:20:00 12/29/20 MST
71.96,30.6,1,1,0,0,1,11:30:00 12/29/20 MST
71.42,35.7,1,1,0,0,1,11:40:00 12/29/20 MST
69.98,36.1,1,1,0,1,1,11:50:00 12/29/20 MST
71.78,29.5,1,1,0,1,1,12:00:00 12/29/20 MST
73.04,23.8,1,1,0,1,1,12:10:00 12/29/20 MST
71.6,24.3,1,1,0,1,1,12:20:00 12/29/20 MST
75.92,22.9,1,1,0,0,0,12:30:00 12/29/20 MST
74.66,22.6,1,1,0,1,1,12:40:00 12/29/20 MST
73.4,23.2,1,1,0,1,1,12:50:00 12/29/20 MST
72.32,27.4,1,1,0,1,1,13:00:00 12/29/20 MST
73.22,30.4,1,1,0,0,1,13:10:00 12/29/20 MST
72.5,34.7,1,1,0,0,1,13:20:00 12/29/20 MST
70.7,26.3,1,1,0,1,1,13:30:00 12/29/20 MST
